date,count
2014/04/21,9799
2014/04/22,11899
2014/04/23,4669
2014/04/24,3876
2014/04/25,9268
2014/04/28,6128
2014/04/29,8424
2014/04/30,2707
2014/05/01,2910
2014/05/04,4667
2014/05/05,3276
2014/05/12,7164
2014/05/13,7639
2014/05/14,17378
2014/05/15,8896
2014/05/16,2901
2014/05/20,15075
2014/05/27,2328
2014/05/28,5906
2014/05/29,5178
2014/05/30,2726
2014/06/03,2007
2014/06/04,10812
2014/06/16,13846
2014/06/21,2893
2014/06/29,1724
2014/06/30,19250
2014/07/15,6630
2014/07/16,3070
2014/08/05,31
2014/08/09,6127
2014/08/18,7226
2014/08/19,8225
2014/09/01,9253
2014/09/02,5600
2014/09/07,3714
2014/09/08,2439
2014/09/09,12176
2014/09/10,19010
2014/09/11,7054
2014/09/12,10844
2014/09/15,2728
2014/09/16,11563
2014/09/17,8672
2014/09/18,18732
2014/09/19,28467
2014/09/20,3358
2014/09/21,24393
2014/09/22,15726
2014/09/23,8329
2014/09/24,7564
2014/09/25,9903
2014/09/26,28100
2014/09/27,7290
2014/09/28,9969
2014/09/29,2689
2014/09/30,20134
2014/10/01,9041
2014/10/02,3095
2014/10/03,13354
2014/10/04,1649
2014/10/05,4464
2014/10/06,4805
2014/10/07,18912
2014/10/08,8150
2014/10/09,9160
2014/10/10,13497
2014/10/11,13371
2014/10/12,7752
2014/10/13,21955
2014/10/14,10840
2014/10/15,15705
2014/10/16,22432
2014/10/17,19216
2014/10/18,11953
2014/10/19,7468
2014/10/20,3191
2014/10/21,12453
2014/10/22,537
2014/10/23,18252
2014/10/24,3040
2014/10/25,10633
2014/10/26,3881
2014/10/27,11072
2014/10/28,31023
2014/10/29,10321
2014/10/30,29960
2014/10/31,11792
2014/11/01,12222
2014/11/02,12772
2014/11/03,10794
2014/11/04,29860
2014/11/05,22460
2014/11/06,15867
2014/11/07,5631
2014/11/08,7456
2014/11/09,26024
2014/11/10,18780
2014/11/11,12337
2014/11/12,25162
2014/11/13,8048
2014/11/14,22310
2014/11/15,367
2014/11/16,16762
2014/11/17,10051
2014/11/18,11800
2014/11/19,13715
2014/11/20,17429
2014/11/21,13877
2014/11/22,16549
2014/11/23,4369
2014/11/24,9457
2014/11/25,5525
2014/11/26,23318
2014/11/27,9560
2014/11/28,9008
2014/11/29,7902
2014/11/30,5434
2014/12/01,12810
2014/12/02,9077
2014/12/03,15709
2014/12/04,6904
2014/12/05,14465
2014/12/06,9641
2014/12/07,20077
2014/12/08,3942
2014/12/09,13832
2014/12/10,7561
2014/12/11,2629
2014/12/12,8646
2014/12/13,5564
2014/12/14,3579
2014/12/15,1777
2014/12/16,22670
2014/12/17,9855
2014/12/18,1614
2014/12/19,4499
2014/12/20,3901
2014/12/21,26622
2014/12/22,19007
2014/12/23,16131
2014/12/24,14212
2014/12/25,9337
2014/12/26,16653
2014/12/27,12000
2014/12/28,3639
2014/12/29,30365
2014/12/30,29852
2014/12/31,16033
2015/01/01,4800
